type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA,year_04295_IT,year_04297_ITA,year_04296_ITE,year_04271_ME,year_04222_ID,year_04234_IDE,year_04160_MSI,year_04224_MSIE,year_04273_MEME,year_04423_MAV,year_04406_MT,year_04404_MPP,year_04401_MISE,year_04402_MISA,year_04405_MIS
,41061,IT Professional Experience 1,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41062,IT Professional Experience 2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41063,IT Professional Experience 3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41064,IT Professional Experience 4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41065,IT Experience Reflection,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41071,Work Integrated Learning 1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41072,Work Integrated Learning 2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41073,Work Integrated Learning 3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41074,Work Integrated Learning 4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41890,Applying Network Security,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,41891,Cloud Computing Infrastructure,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,41903,Internet Science,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,41905,Software Defined Networks,6,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,42036,Cyber Security for Mobile Platform,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,42037,IoT Secority,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,48033,Internet of Things,6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,48436,Digital Forensics,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,48450,Real-time Operating Systems,6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,48730,Cyber Security,6,,,0,0,0,0,0,0,0,5,0,0,0,0,0,5,,,,,,,,,,,,,,,
,59333,Advertising Strategies,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68315,Imaging Science,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,68414,Advanced Mechanics,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70103,Ethics Law and Justice,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70104,Civil Practice,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70108,Public International Law,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70109,Evidence,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70114,Criminal Law and Procedure,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70211,Contracts,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70311,Torts,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70317,Real Property,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70327,Commercial Law,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70417,Corporate Law,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,70517,Equity and Trusts,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
